| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
| 17 | 5 | 2028 | 136 | 61 | 234 | 41.8 | 26.8% | 286 | 24 | 96453 · 9652 · 4152 | 6555 · 601 · 193 | 11370 · 931 · 639 | 5997 · 526 · 191 | 4398.1 | 4209.5 · 4209.5 | T3 | yes · yes | 77.5 · 46.3 | 2009 · 142 · 59 · 206 | first | 1 | ok | - |
| 18 | 4 | 2049 | 107 | 61 | 266 | 39.2 | 20.9% | 123 | 24 | 37955 · 1590 · 1904 | 8081 · 485 · 308 | 7889 · 484 · 428 | 6355 · 346 · 277 | 3535.2 | 3535.2 · 3535.2 | T3 | yes · yes | 77.5 · 46.3 | 2023 · 108 · 69 · 220 | first | 1 | ok | - |
| 20 | 3 | 1647 | 147 | 49 | 153 | 44.2 | 35.7% | 318 | 24 | 111188 · 10420 · 4361 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 4531.1 | 3850.7 · 3850.7 | T3 | yes · yes | 77.5 · 46.3 | 1692 · 141 · 45 · 166 | first | 1 | ok | - |
| 21 | 4 | 2383 | 167 | 71 | 268 | 54.4 | 28.0% | 159 | 24 | 49727 · 3032 · 2482 | 7216 · 514 · 208 | 8377 · 552 · 469 | 5728 · 368 · 198 | 5112.8 | 4700.9 · 4700.9 | T3 | yes · yes | 77.5 · 46.3 | 2376 · 169 · 77 · 229 | retry | 2 | KCAL_OFF / ok | - |
| 22 | 3 | 1953 | 179 | 59 | 178 | 53.7 | 36.7% | 311 | 24 | 108854 · 10228 · 4187 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 5177.2 | 4058.5 · 4058.5 | T3 | yes · yes | 77.5 · 46.3 | 1966 · 167 · 61 · 170 | retry | 2 | PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / ok | - |
| 23 | 5 | 2033 | 211 | 63 | 155 | 63.2 | 41.5% | 128 | 24 | 40370 · 1917 · 2058 | 7918 · 568 · 279 | 9888 · 647 · 553 | 7155 · 485 · 274 | 5663.8 | 5399.1 · 5399.1 | T3 | yes · yes | 77.5 · 46.3 | 2163 · 187 · 83 · 148 | fail | 3 | KCAL_OFF,PROTEIN_OFF / PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,PROTEIN_OFF | allergy Eggs unmatched in the export; in the 24: 1575 |
| 24 | 3 | 1755 | 195 | 59 | 111 | 58.6 | 44.4% | 194 | 24 | 57484 · 2530 · 2069 | 7992 · 493 · 287 | 6578 · 404 · 321 | 5278 · 298 · 220 | 5377.9 | 4486.8 · 4486.8 | T3 | yes · no | 77.5 · 46.3 | 1910 · 167 · 60 · 155 | fail | 3 | PROTEIN_OFF / PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | allergy Eggs unmatched in the export; in the 24: none |
| 25 | 4 | 2377 | 169 | 71 | 264 | 68.6 | 28.4% | 142 | 24 | 44517 · 2413 · 2213 | 7379 · 511 · 221 | 8208 · 531 · 451 | 5755 · 359 · 200 | 5161.7 | 4715.9 · 4715.9 | T3 | yes · yes | 77.5 · 46.3 | 2375 · 170 · 74 · 237 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 26 | 3 | 1791 | 91 | 54 | 235 | 36.8 | 20.3% | 116 | 24 | 35743 · 1359 · 1811 | 8171 · 480 · 253 | 6103 · 371 · 285 | 5430 · 302 · 197 | 3059.7 | 3059.7 · 3059.7 | T3 | yes · yes | 77.5 · 46.3 | 1768 · 93 · 59 · 193 | first | 1 | ok | - |
| 27 | 4 | 1408 | 117 | 42 | 140 | 35.2 | 33.2% | 295 | 24 | 103093 · 9705 · 3891 | 7362 · 650 · 187 | 9905 · 821 · 552 | 5987 · 501 · 180 | 3760.5 | 3760.5 · 3760.5 | T3 | yes · yes | 77.5 · 46.3 | 1424 · 114 · 28 · 166 | fail | 3 | FAT_BELOW_SAFETY_FLOOR / KCAL_OFF / FAT_BELOW_SAFETY_FLOOR | - |
| 28 | 4 | 2394 | 224 | 72 | 213 | 67.3 | 37.4% | 157 | 24 | 49432 · 2981 · 2474 | 7201 · 500 · 208 | 8377 · 552 · 469 | 5714 · 355 · 198 | 5732.1 | 5127.3 · 5127.3 | T3 | yes · yes | 77.5 · 46.3 | 2464 · 208 · 70 · 232 | fail | 3 | FAT_BELOW_SAFETY_FLOOR / PROTEIN_OFF / PROTEIN_OFF | - |
| 29 | 4 | 1992 | 92 | 60 | 271 | 49.1 | 18.5% | 319 | 24 | 111767 · 10441 · 4371 | 7362 · 650 · 187 | 9905 · 823 · 552 | 5987 · 501 · 180 | 3023.5 | 3023.5 · 3023.5 | T3 | yes · yes | 77.5 · 46.3 | 1882 · 123 · 56 · 210 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 30 | 3 | 2413 | 138 | 72 | 303 | 46.1 | 22.9% | 315 | 24 | 109694 · 10378 · 4189 | 7362 · 650 · 187 | 7611 · 653 · 430 | 4998 · 414 · 158 | 4310.7 | 3774.0 · 3774.0 | T3 | yes · yes | 77.5 · 46.3 | 1965 · 151 · 63 · 185 | fail | 3 | UNKNOWN_FOOD / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 31 | 3 | 1888 | 60 | 57 | 284 | 31.2 | 12.7% | 139 | 24 | 41124 · 2793 · 1770 | 6717 · 511 · 165 | 6384 · 426 · 360 | 4305 · 299 · 134 | 1958.8 | 1958.8 · 1958.8 | T3 | yes · yes | 55.8 · 38.8 | 1635 · 86 · 35 · 233 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,PROTEIN_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF,FAT_OFF | allergy Eggs unmatched in the export; in the 24: 1575 |
