| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | 3 | 1776 | 143 | 57 | 172 | 57.0 | 32.2% | 152 | 24 | 47677 · 2720 · 2396 | 7459 · 525 · 226 | 6442 · 425 · 365 | 4839 · 306 · 178 | 4525.9 | 3968.3 · 3968.3 | T3 | yes · yes | 77.5 · 46.3 | 1769 · 143 · 59 · 153 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 2 | 3 | 1754 | 113 | 53 | 207 | 36.9 | 25.8% | 316 | 24 | 111133 · 10398 · 4368 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 3643.0 | 3481.5 · 3481.0 | T3 | yes · yes | 77.5 · 46.3 | 1731 · 114 · 59 · 169 | retry | 2 | KCAL_OFF / ok | - |
| 3 | 3 | 1978 | 106 | 59 | 254 | 43.1 | 21.4% | 217 | 24 | 65498 · 3537 · 2456 | 7239 · 512 · 215 | 6652 · 438 · 349 | 4774 · 306 · 174 | 3436.8 | 3366.1 · 3359.0 | T3 | yes · yes | 77.5 · 46.3 | 1873 · 109 · 68 · 193 | fail | 3 | UNKNOWN_FOOD / KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF | - |
| 4 | 4 | 2152 | 167 | 65 | 226 | 50.0 | 31.0% | 318 | 24 | 111115 · 10441 · 4299 | 7362 · 650 · 187 | 9842 · 823 · 540 | 5987 · 501 · 180 | 5019.9 | 4539.0 · 4539.0 | T3 | yes · yes | 77.5 · 46.3 | 2186 · 166 · 54 · 243 | first | 1 | ok | - |
| 5 | 3 | 2812 | 156 | 84 | 358 | 46.7 | 22.2% | 146 | 24 | 45396 · 2541 · 2232 | 7379 · 511 · 221 | 6249 · 420 · 334 | 4772 · 296 · 173 | 4844.0 | 4065.7 · 4065.7 | T3 | yes · yes | 77.5 · 46.3 | 2449 · 166 · 75 · 257 | fail | 3 | KCAL_OFF / KCAL_OFF / KCAL_OFF | - |
| 6 | 5 | 1974 | 175 | 59 | 186 | 52.4 | 35.5% | 318 | 24 | 111630 · 10438 · 4371 | 7362 · 650 · 187 | 12150 · 990 · 674 | 6651 · 566 · 184 | 5130.0 | 4878.5 · 4878.5 | T3 | yes · yes | 77.5 · 46.3 | 2096 · 165 · 57 · 216 | fail | 3 | FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF / KCAL_OFF | - |
| 7 | 5 | 2468 | 120 | 74 | 330 | 53.6 | 19.4% | 319 | 24 | 111767 · 10441 · 4371 | 7362 · 650 · 187 | 12150 · 990 · 674 | 6651 · 566 · 184 | 3848.5 | 3848.5 · 3848.5 | T3 | yes · yes | 77.5 · 46.3 | 2335 · 140 · 63 · 287 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 8 | 4 | 1426 | 94 | 43 | 167 | 34.6 | 26.4% | 148 | 24 | 45567 · 2697 · 2184 | 7379 · 511 · 221 | 8366 · 542 · 469 | 5755 · 359 · 200 | 3150.2 | 3150.2 · 3150.2 | T3 | yes · yes | 77.5 · 46.3 | 1448 · 93 · 40 · 164 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 9 | 5 | 2411 | 185 | 72 | 255 | 55.5 | 30.7% | 158 | 24 | 49259 · 3019 · 2471 | 7216 · 514 · 208 | 10157 · 668 · 568 | 6437 · 425 · 204 | 5417.4 | 5144.3 · 5144.3 | T3 | yes · yes | 77.5 · 46.3 | 2415 · 187 · 70 · 243 | retry | 2 | FAT_BELOW_SAFETY_FLOOR,FAT_OFF / ok | - |
| 11 | 3 | 4073 | 136 | 122 | 608 | 54.6 | 13.4% | 257 | 24 | 87530 · 8556 · 3763 | 6433 · 587 · 192 | 7151 · 619 · 409 | 4560 · 384 · 165 | 4398.1 | 3562.6 · 3562.6 | T2 | yes · no | 77.5 · 46.3 | 2353 · 147 · 89 · 218 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 12 | 4 | 2324 | 136 | 70 | 288 | 40.7 | 23.4% | 200 | 24 | 55526 · 3257 · 2485 | 6404 · 466 · 221 | 8089 · 485 · 431 | 5203 · 340 · 208 | 4398.1 | 3998.5 · 3998.5 | T3 | yes · yes | 77.5 · 46.3 | 2290 · 138 · 75 · 247 | retry | 2 | KCAL_OFF,PROTEIN_OFF / ok | - |
| 13 | 5 | 3365 | 167 | 101 | 448 | 50.0 | 19.9% | 235 | 24 | 70821 · 4011 · 2709 | 7211 · 515 · 215 | 10680 · 668 · 563 | 6445 · 428 · 210 | 5019.9 | 4801.7 · 4801.7 | T3 | yes · yes | 77.5 · 46.3 | 2864 · 182 · 97 · 293 | fail | 3 | UNKNOWN_FOOD / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 14 | 5 | 2746 | 147 | 82 | 354 | 44.1 | 21.4% | 314 | 24 | 109891 · 10208 · 4320 | 7362 · 650 · 187 | 12150 · 988 · 672 | 6651 · 566 · 184 | 4531.1 | 4529.8 · 4518.7 | T3 | yes · yes | 77.5 · 46.3 | 2638 · 150 · 86 · 299 | retry | 2 | KCAL_OFF,PROTEIN_OFF / ok | - |
| 15 | 5 | 1812 | 97 | 54 | 234 | 40.7 | 21.4% | 258 | 24 | 90735 · 7397 · 3628 | 8229 · 806 · 213 | 12059 · 910 · 674 | 7471 · 713 · 210 | 3171.1 | 3171.1 · 3171.1 | T3 | yes · yes | 77.5 · 46.3 | 1969 · 144 · 58 · 203 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 17 | 5 | 2028 | 136 | 61 | 234 | 41.8 | 26.8% | 286 | 24 | 96453 · 9652 · 4152 | 6555 · 601 · 193 | 11370 · 931 · 639 | 5997 · 526 · 191 | 4398.1 | 4209.5 · 4209.5 | T3 | yes · yes | 77.5 · 46.3 | 2000 · 141 · 55 · 214 | first | 1 | ok | - |
| 18 | 4 | 2049 | 107 | 61 | 266 | 39.2 | 20.9% | 123 | 24 | 37955 · 1590 · 1904 | 8081 · 485 · 308 | 7889 · 484 · 428 | 6355 · 346 · 277 | 3535.2 | 3535.2 · 3535.2 | T3 | yes · yes | 77.5 · 46.3 | 2018 · 108 · 66 · 224 | first | 1 | ok | - |
| 20 | 3 | 1647 | 147 | 49 | 153 | 44.2 | 35.7% | 318 | 24 | 111188 · 10420 · 4361 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 4531.1 | 3850.7 · 3850.7 | T3 | yes · yes | 77.5 · 46.3 | 1628 · 143 · 51 · 138 | first | 1 | ok | - |
| 21 | 4 | 2383 | 167 | 71 | 268 | 54.4 | 28.0% | 159 | 24 | 49727 · 3032 · 2482 | 7216 · 514 · 208 | 8377 · 552 · 469 | 5728 · 368 · 198 | 5112.8 | 4700.9 · 4700.9 | T3 | yes · yes | 77.5 · 46.3 | 2316 · 169 · 60 · 254 | first | 1 | ok | - |
| 22 | 3 | 1953 | 179 | 59 | 178 | 53.7 | 36.7% | 311 | 24 | 108854 · 10228 · 4187 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 5177.2 | 4058.5 · 4058.5 | T3 | yes · yes | 77.5 · 46.3 | 1945 · 179 · 54 · 169 | retry | 2 | PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / ok | - |
| 23 | 5 | 2033 | 211 | 63 | 155 | 63.2 | 41.5% | 122 | 24 | 38108 · 1689 · 1926 | 8478 · 596 · 328 | 9888 · 646 · 529 | 7600 · 490 · 319 | 5771.6 | 5579.0 · 5579.0 | T3 | yes · yes | 77.5 · 46.3 | 2092 · 176 · 72 · 170 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,PROTEIN_OFF / PROTEIN_OFF | - |
| 24 | 3 | 1755 | 195 | 59 | 111 | 58.6 | 44.4% | 194 | 24 | 57484 · 2530 · 2069 | 7992 · 493 · 287 | 6578 · 404 · 321 | 5278 · 298 · 220 | 5377.9 | 4486.8 · 4486.8 | T3 | yes · no | 77.5 · 46.3 | 1837 · 149 · 59 · 156 | fail | 3 | PROTEIN_OFF / PROTEIN_OFF / PROTEIN_OFF | - |
| 25 | 4 | 2377 | 169 | 71 | 264 | 68.6 | 28.4% | 142 | 24 | 44517 · 2413 · 2213 | 7379 · 511 · 221 | 8208 · 531 · 451 | 5755 · 359 · 200 | 5161.7 | 4715.9 · 4715.9 | T3 | yes · yes | 77.5 · 46.3 | 2381 · 168 · 70 · 251 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 26 | 3 | 1791 | 91 | 54 | 235 | 36.8 | 20.3% | 116 | 24 | 35743 · 1359 · 1811 | 8171 · 480 · 253 | 6103 · 371 · 285 | 5430 · 302 · 197 | 3059.7 | 3059.7 · 3059.7 | T3 | yes · yes | 77.5 · 46.3 | 1764 · 94 · 60 · 191 | first | 1 | ok | - |
| 27 | 4 | 1408 | 117 | 42 | 140 | 35.2 | 33.2% | 295 | 24 | 103093 · 9705 · 3891 | 7362 · 650 · 187 | 9905 · 821 · 552 | 5987 · 501 · 180 | 3760.5 | 3760.5 · 3760.5 | T3 | yes · yes | 77.5 · 46.3 | 1415 · 116 · 41 · 133 | retry | 2 | KCAL_OFF / ok | - |
| 28 | 4 | 2394 | 224 | 72 | 213 | 67.3 | 37.4% | 157 | 24 | 49432 · 2981 · 2474 | 7201 · 500 · 208 | 8377 · 552 · 469 | 5714 · 355 · 198 | 5732.1 | 5127.3 · 5127.3 | T3 | yes · yes | 77.5 · 46.3 | 2496 · 222 · 69 · 230 | retry | 2 | PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / ok | - |
| 29 | 4 | 1992 | 92 | 60 | 271 | 49.1 | 18.5% | 319 | 24 | 111767 · 10441 · 4371 | 7362 · 650 · 187 | 9905 · 823 · 552 | 5987 · 501 · 180 | 3023.5 | 3023.5 · 3023.5 | T3 | yes · yes | 77.5 · 46.3 | 1831 · 122 · 58 · 192 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 30 | 3 | 2413 | 138 | 72 | 303 | 46.1 | 22.9% | 315 | 24 | 109694 · 10378 · 4189 | 7362 · 650 · 187 | 7611 · 653 · 430 | 4998 · 414 · 158 | 4310.7 | 3774.0 · 3774.0 | T3 | yes · yes | 77.5 · 46.3 | 2333 · 138 · 63 · 290 | retry | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF / ok | - |
| 31 | 3 | 1888 | 60 | 57 | 284 | 31.2 | 12.7% | 134 | 24 | 39272 · 2600 · 1664 | 6859 · 523 · 172 | 6384 · 426 · 360 | 4308 · 299 · 134 | 1958.8 | 1958.8 · 1958.8 | T3 | yes · yes | 55.8 · 38.8 | 1560 · 80 · 34 · 225 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,PROTEIN_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF,FAT_OFF | - |
| 32 | 5 | 2843 | 137 | 85 | 381 | 52.1 | 19.3% | 154 | 24 | 47102 · 2956 · 2258 | 7216 · 514 · 208 | 10157 · 664 · 573 | 6437 · 425 · 204 | 4378.6 | 4378.6 · 4378.6 | T3 | yes · yes | 77.5 · 46.3 | 2813 · 138 · 85 · 350 | retry | 2 | KCAL_OFF,PROTEIN_OFF / ok | - |
| 33 | 3 | 2045 | 117 | 61 | 257 | 38.9 | 22.9% | 291 | 24 | 103040 · 9374 · 3983 | 7240 · 636 · 185 | 7611 · 655 · 430 | 4905 · 408 · 157 | 3760.5 | 3538.4 · 3532.1 | T3 | yes · yes | 77.5 · 46.3 | 2048 · 118 · 62 · 236 | retry | 3 | KCAL_OFF / KCAL_OFF / ok | - |
| 34 | 5 | 1755 | 145 | 53 | 175 | 43.6 | 33.0% | 314 | 24 | 109983 · 10262 · 4300 | 7467 · 672 · 188 | 12150 · 990 · 670 | 6757 · 589 · 185 | 4482.2 | 4481.4 · 4481.2 | T3 | yes · yes | 77.5 · 46.3 | 1762 · 146 · 31 · 211 | fail | 3 | KCAL_OFF / KCAL_OFF / FAT_BELOW_SAFETY_FLOOR,FAT_OFF | - |
| 35 | 3 | 1797 | 163 | 54 | 165 | 49.0 | 36.3% | 284 | 24 | 98183 · 9749 · 3435 | 6863 · 647 · 143 | 7553 · 653 · 425 | 4549 · 409 · 122 | 4486.6 | 3538.3 · 3538.3 | T3 | yes · yes | 55.8 · 38.8 | 1706 · 152 · 43 · 164 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,FAT_BELOW_SAFETY_FLOOR | - |
| 36 | 3 | 2267 | 221 | 68 | 193 | 66.2 | 39.0% | 317 | 24 | 111491 · 10428 · 4368 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 5548.3 | 4266.6 · 4266.6 | T3 | yes · yes | 77.5 · 46.3 | 1993 · 161 · 62 · 186 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR | - |
| 37 | 4 | 1273 | 70 | 38 | 163 | 32.6 | 22.0% | 129 | 24 | 36384 · 2418 · 2114 | 6065 · 438 · 209 | 7446 · 479 · 434 | 4903 · 314 · 200 | 3040.2 | 2910.4 · 2910.4 | T3 | yes · yes | 77.5 · 46.3 | 1272 · 71 · 43 · 138 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 38 | 3 | 2146 | 86 | 64 | 306 | 41.2 | 16.0% | 314 | 24 | 109934 · 10314 · 4288 | 7362 · 650 · 187 | 7586 · 655 · 430 | 4998 · 414 · 158 | 2843.1 | 2843.1 · 2843.1 | T3 | yes · yes | 77.5 · 46.3 | 1914 · 106 · 58 · 228 | fail | 3 | UNKNOWN_FOOD / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 39 | 3 | 1779 | 147 | 53 | 178 | 44.1 | 33.1% | 316 | 24 | 110761 · 10383 · 4307 | 7378 · 644 · 183 | 7611 · 655 · 430 | 5014 · 408 · 155 | 4672.8 | 3900.3 · 3900.3 | T3 | yes · yes | 75.8 · 46.3 | 1821 · 148 · 46 · 191 | first | 1 | ok | - |
