family	p2	p4	source_code	name_he	source	kcal	carb_g	carb_share	fiber_g	moisture	dry?	raw?	fiber?	outlier?	eligible	has_serving	band	rank
30	57	5734	2880	דגני בוקר, אורז תפוח	ingredient	384.5	86.4	0.899	1.4	3.9	0	0	0	0	0	1	1	2
30	57	5713	2831	דגני בוקר, קורנפלקס UK ,KELLOGGS	ingredient	376.6	84.1	0.893	3.3	3.8	0	0	0	0	0	1	1	3
30	57	5713	2828	דגני בוקר, קורנפלקס ללא סוכר ומלח, ללא גלוטן, דגש	industry	388.2	86.0	0.886	2.9		0	0	0	0	0	1	1	4
30	57	5713	9809	דגני בוקר, קורנפלקס, עם דבש, תלמה	industry	376.9	83.0	0.881	5.5	11.3	0	0	0	0	0	0	1	5
30	57	5733	8557	דגני בוקר, רייס קריספיס	ingredient	384.8	84.7	0.880	0.4	5.1	0	0	0	0	0	1	1	6
31	71	7105	3452	קמח/עמילן תפוחי אדמה, כולל גלעם	ingredient	374.5	83.1	0.888	5.9	6.5	1	0	0	0	0	1	1	1
31	71	7110	3453	תפוחי אדמה, אפויים, קליפה לא נאכלה, עם מלח	ingredient	91.5	19.9	0.870	1.5	74.9	0	0	0	0	0	1	1	2
31	71	7110	3459	תפוחי אדמה, מבושלים, ללא קליפה, עם מלח, ללא תוספת שומן	ingredient	83.7	18.1	0.865	1.8	77.0	0	0	0	0	1	1	1	3
31	71	7110	3464	תפוחי אדמה, מבושלים, עם קליפה, עם מלח, ללא תוספת שומן	ingredient	84.9	18.2	0.857	1.8	76.5	0	0	0	0	0	1	1	4
31	71	7105	3450	תפוחי אדמה, פתיתים מיובשים	ingredient	348.4	74.6	0.856	6.6	6.6	1	0	0	0	0	1	1	5
31	71	7100	3449	תפוחי אדמה, טריים, עם קליפה	ingredient	83.3	17.5	0.840	2.2	79.3	0	0	0	0	0	1	1	6
31	71	7110	3456	תפוחי אדמה, אפויים, עם מלח, קליפה נאכלה, ללא תוספת שומן	ingredient	90.5	18.8	0.831	2.2	74.4	0	0	0	0	0	1	1	7
31	71	7110	3466	תפוחי אדמה, צלויים, ללא תוספת שומן, עם מלח	ingredient	91.5	18.8	0.822	2.7	74.3	0	0	0	0	0	1	1	8
32	73	7340	3660	בטטה מבושלת, ללא קליפה, ללא תוספת שומן, עם מלח	ingredient	71.9	15.1	0.840	2.5	79.6	0	0	0	0	0	1	1	1
32	73	7340	3662	בטטה מבושלת, עם קליפה, ללא תוספת שומן, עם מלח	ingredient	71.9	15.1	0.840	2.5	79.6	0	0	0	0	0	1	1	2
32	73	7340	3656	בטטה טריה, עם קליפה	ingredient	81.7	17.1	0.837	3.0	77.3	0	0	0	0	0	1	1	3
33	75	7521	8293	תירס, גרעינים/קלחונים, קפוא, לא מבושל, סנפרוסט	industry	96.7	19.7	0.815	0.5	74.2	0	1	0	0	0	1	1	1
33	75	7521	3962	תירס, גרעינים, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח	ingredient	88.3	16.8	0.761	2.4	76.6	0	0	0	0	0	1	1	2
33	75	7521	3963	תירס, מבושל, משומר, ללא תוספת שומן בבישול, עם מלח	ingredient	87.3	15.9	0.729	1.9	77.8	0	0	0	0	0	1	1	3
