| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
| 31 | 3 | 1888 | 60 | 57 | 284 | 31.2 | 12.7% | 134 | 24 | 39272 · 2600 · 1664 | 7507 · 507 · 245 | 6384 · 426 · 360 | 4567 · 298 · 181 | 2721.0 | 2709.6 · 2709.6 | T3 | yes · yes | 91.1 · 52.1 | 1744 · 68 · 63 · 218 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 32 | 5 | 2843 | 137 | 85 | 381 | 52.1 | 19.3% | 154 | 24 | 47102 · 2956 · 2258 | 6172 · 459 · 187 | 10157 · 664 · 573 | 5481 · 376 · 182 | 4399.7 | 4220.1 · 4220.1 | T3 | yes · yes | 61.4 · 43.4 | 2476 · 148 · 106 · 206 | fail | 3 | KCAL_OFF / KCAL_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 33 | 3 | 2045 | 117 | 61 | 257 | 38.9 | 22.9% | 291 | 24 | 103040 · 9374 · 3983 | 6413 · 573 · 167 | 7611 · 655 · 430 | 4230 · 367 · 142 | 3881.6 | 3233.5 · 3233.5 | T3 | yes · yes | 62.1 · 45.1 | 2048 · 117 · 61 · 236 | retry | 2 | KCAL_OFF / ok | - |
| 34 | 5 | 1755 | 145 | 53 | 175 | 43.6 | 33.0% | 314 | 24 | 109983 · 10262 · 4300 | 7739 · 623 · 209 | 12150 · 990 · 670 | 7045 · 546 · 207 | 5462.3 | 5311.2 · 5311.2 | T3 | yes · yes | 88.8 · 57.3 | 1754 · 146 · 48 · 173 | first | 1 | ok | - |
| 35 | 3 | 1797 | 163 | 54 | 165 | 49.0 | 36.3% | 284 | 24 | 98183 · 9749 · 3435 | 6660 · 551 · 219 | 7553 · 653 · 425 | 4556 · 344 · 184 | 5060.0 | 3963.8 · 3945.7 | T3 | yes · yes | 96.4 · 66.2 | 1808 · 158 · 63 · 127 | retry | 2 | PROTEIN_OFF / ok | - |
| 36 | 3 | 2267 | 221 | 68 | 193 | 66.2 | 39.0% | 317 | 24 | 111491 · 10428 · 4368 | 7695 · 598 · 245 | 7611 · 655 · 430 | 4971 · 378 · 195 | 6158.7 | 4486.4 · 4485.7 | T3 | yes · yes | 100.8 · 60.0 | 2276 · 214 · 68 · 189 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 37 | 4 | 1273 | 70 | 38 | 163 | 32.6 | 22.0% | 129 | 24 | 36384 · 2418 · 2114 | 5768 · 404 · 187 | 7446 · 479 · 434 | 4559 · 278 · 179 | 3669.4 | 3332.1 · 3326.9 | T3 | yes · yes | 65.8 · 48.1 | 1266 · 71 · 35 · 155 | first | 1 | ok | - |
| 38 | 3 | 2146 | 86 | 64 | 306 | 41.2 | 16.0% | 314 | 24 | 109934 · 10314 · 4288 | 6890 · 618 · 195 | 7586 · 655 · 430 | 4664 · 399 · 169 | 3037.5 | 2893.6 · 2881.0 | T3 | yes · yes | 78.8 · 48.6 | 1582 · 95 · 63 · 139 | fail | 1 | KCAL_OFF,PROTEIN_OFF | - |
| 39 | 3 | 1779 | 147 | 53 | 178 | 44.1 | 33.1% | 316 | 24 | 110761 · 10383 · 4307 | 7098 · 600 · 198 | 7611 · 655 · 430 | 4743 · 381 · 158 | 4974.6 | 3840.2 · 3840.2 | T3 | yes · yes | 82.4 · 51.0 | - | fail | 0 | - | - |
| 41 | 3 | 2081 | 150 | 62 | 230 | 50.0 | 28.8% | 314 | 24 | 110139 · 10276 · 4312 | 6976 · 603 · 199 | 7611 · 655 · 429 | 4602 · 383 · 169 | 4909.5 | 3689.0 · 3688.6 | T3 | yes · yes | 78.5 · 49.7 | - | fail | 0 | - | - |
| 42 | 5 | 1500 | 108 | 45 | 166 | 44.6 | 28.8% | 301 | 24 | 103574 · 10237 · 3686 | 6845 · 609 · 180 | 12023 · 985 · 667 | 6230 · 532 · 176 | 3669.6 | 3669.6 · 3669.6 | T3 | yes · yes | 64.8 · 44.7 | - | fail | 0 | - | - |
| 43 | 4 | 1938 | 77 | 58 | 277 | 34.8 | 15.9% | 266 | 24 | 92942 · 8914 · 3248 | 6623 · 569 · 157 | 9811 · 821 · 547 | 5297 · 439 · 152 | 3535.4 | 3535.4 · 3535.4 | T3 | yes · yes | 57.4 · 39.2 | - | fail | 0 | - | - |
| 44 | 3 | 2277 | 95 | 68 | 320 | 31.8 | 16.7% | 140 | 24 | 41056 · 2814 · 1796 | 6138 · 482 · 167 | 6384 · 426 · 360 | 3779 · 280 · 130 | 3137.4 | 2891.8 · 2891.8 | T3 | yes · yes | 52.9 · 32.9 | - | fail | 0 | - | - |
