| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | 3 | 1776 | 143 | 57 | 172 | 57.0 | 32.2% | 152 | 24 | 47677 · 2720 · 2396 | 7121 · 487 · 231 | 6442 · 425 · 365 | 4528 · 277 · 183 | 4918.7 | 3949.0 · 3949.0 | T3 | yes · yes | 78.4 · 52.7 | 1776 · 143 · 58 · 151 | retry | 2 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / ok | - |
| 2 | 3 | 1754 | 113 | 53 | 207 | 36.9 | 25.8% | 316 | 24 | 111133 · 10398 · 4368 | 6466 · 559 · 180 | 7611 · 655 · 430 | 4400 · 355 · 156 | 4433.7 | 3490.2 · 3490.2 | T3 | yes · yes | 78.2 · 60.0 | 1721 · 117 · 70 · 142 | first | 1 | ok | - |
| 3 | 3 | 1978 | 106 | 59 | 254 | 43.1 | 21.4% | 217 | 24 | 65498 · 3537 · 2456 | 6584 · 430 · 199 | 6652 · 438 · 349 | 4134 · 251 · 160 | 4382.7 | 3394.8 · 3394.8 | T3 | yes · yes | 68.7 · 48.9 | 1979 · 106 · 70 · 214 | retry | 2 | KCAL_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / ok | - |
| 4 | 4 | 2152 | 167 | 65 | 226 | 50.0 | 31.0% | 318 | 24 | 111115 · 10441 · 4299 | 6811 · 564 · 218 | 9842 · 823 · 540 | 5558 · 434 · 213 | 5166.7 | 4528.3 · 4528.3 | T3 | yes · yes | 87.7 · 60.0 | 2153 · 163 · 70 · 203 | first | 1 | ok | - |
| 5 | 3 | 2812 | 156 | 84 | 358 | 46.7 | 22.2% | 146 | 24 | 45396 · 2541 · 2232 | 6426 · 466 · 215 | 6249 · 420 · 334 | 4030 · 257 · 171 | 4581.1 | 3562.9 · 3562.9 | T3 | yes · yes | 66.6 · 50.4 | 2509 · 163 · 95 · 227 | fail | 3 | KCAL_OFF / KCAL_OFF / KCAL_OFF | - |
| 6 | 5 | 1974 | 175 | 59 | 186 | 52.4 | 35.5% | 318 | 24 | 111630 · 10438 · 4371 | 6704 · 567 · 175 | 12150 · 990 · 674 | 6013 · 490 · 172 | 5090.4 | 4755.4 · 4755.4 | T3 | yes · yes | 70.0 · 50.1 | 1987 · 175 · 56 · 182 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 7 | 5 | 2468 | 120 | 74 | 330 | 53.6 | 19.4% | 319 | 24 | 111767 · 10441 · 4371 | 6442 · 576 · 163 | 12150 · 990 · 674 | 5797 · 502 · 161 | 4289.9 | 4184.3 · 4184.3 | T3 | yes · yes | 69.2 · 51.0 | 2372 · 127 · 76 · 260 | first | 1 | ok | - |
| 8 | 4 | 1426 | 94 | 43 | 167 | 34.6 | 26.4% | 148 | 24 | 45567 · 2697 · 2184 | 7199 · 464 · 258 | 8366 · 542 · 469 | 5760 · 329 · 238 | 4271.1 | 4124.2 · 4124.2 | T3 | yes · yes | 91.7 · 60.0 | 1429 · 95 · 51 · 136 | retry | 2 | FAT_BELOW_SAFETY_FLOOR / ok | - |
| 9 | 5 | 2411 | 185 | 72 | 255 | 55.5 | 30.7% | 158 | 24 | 49259 · 3019 · 2471 | 6851 · 484 · 248 | 10157 · 668 · 568 | 6217 · 404 · 244 | 5281.9 | 5073.7 · 5073.7 | T3 | yes · yes | 92.5 · 53.6 | 2392 · 182 · 86 · 200 | first | 1 | ok | - |
| 11 | 3 | 4073 | 136 | 122 | 608 | 54.6 | 13.4% | 257 | 24 | 87530 · 8556 · 3763 | 6884 · 533 · 200 | 7151 · 619 · 409 | 4436 · 334 · 163 | 5235.9 | 3711.7 · 3711.7 | T2 | yes · no | 90.1 · 57.4 | 2181 · 129 · 95 · 189 | fail | 3 | KCAL_OFF / KCAL_OFF / KCAL_OFF | - |
| 12 | 4 | 2324 | 136 | 70 | 288 | 40.7 | 23.4% | 200 | 24 | 55526 · 3257 · 2485 | 6437 · 429 · 182 | 8089 · 485 · 431 | 5041 · 306 · 171 | 4742.7 | 4087.8 · 4087.8 | T3 | yes · yes | 62.2 · 42.2 | 2319 · 137 · 74 · 251 | retry | 2 | KCAL_OFF / ok | - |
| 13 | 5 | 3365 | 167 | 101 | 448 | 50.0 | 19.9% | 235 | 24 | 70821 · 4011 · 2709 | 5949 · 418 · 180 | 10680 · 668 · 563 | 5318 · 343 · 176 | 4566.5 | 4356.0 · 4356.0 | T3 | yes · yes | 61.5 · 46.0 | 2891 · 179 · 94 · 309 | fail | 3 | KCAL_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 14 | 5 | 2746 | 147 | 82 | 354 | 44.1 | 21.4% | 314 | 24 | 109891 · 10208 · 4320 | 6678 · 597 · 142 | 12150 · 988 · 672 | 5883 · 522 · 139 | 4587.0 | 4323.2 · 4323.2 | T3 | yes · yes | 43.7 · 30.5 | 2615 · 156 · 67 · 325 | first | 1 | ok | - |
| 15 | 5 | 1812 | 97 | 54 | 234 | 40.7 | 21.4% | 258 | 24 | 90735 · 7397 · 3628 | 7819 · 731 · 186 | 12059 · 910 · 674 | 7122 · 646 · 184 | 3836.1 | 3836.1 · 3836.1 | T3 | yes · yes | 66.7 · 47.1 | 1739 · 120 · 45 · 199 | fail | 3 | KCAL_OFF,PROTEIN_OFF / PROTEIN_OFF / PROTEIN_OFF | - |
| 17 | 5 | 2028 | 136 | 61 | 234 | 41.8 | 26.8% | 286 | 24 | 96453 · 9652 · 4152 | 6234 · 541 · 173 | 11370 · 931 · 639 | 5656 · 467 · 170 | 4525.4 | 4291.2 · 4291.2 | T3 | yes · yes | 67.6 · 46.8 | 2025 · 138 · 73 · 185 | first | 1 | ok | - |
| 18 | 4 | 2049 | 107 | 61 | 266 | 39.2 | 20.9% | 123 | 24 | 37955 · 1590 · 1904 | 6834 · 441 · 265 | 7889 · 484 · 428 | 5332 · 318 · 235 | 3580.5 | 3272.8 · 3272.8 | T3 | yes · yes | 55.4 · 40.0 | 1962 · 110 · 80 · 167 | first | 1 | ok | - |
| 20 | 3 | 1647 | 147 | 49 | 153 | 44.2 | 35.7% | 318 | 24 | 111188 · 10420 · 4361 | 6029 · 568 · 155 | 7611 · 655 · 430 | 3933 · 352 · 129 | 4233.2 | 3157.2 · 3157.2 | T3 | yes · yes | 53.7 · 38.2 | 1668 · 138 · 64 · 112 | first | 1 | ok | - |
| 21 | 4 | 2383 | 167 | 71 | 268 | 54.4 | 28.0% | 159 | 24 | 49727 · 3032 · 2482 | 6105 · 467 · 177 | 8377 · 552 · 469 | 4695 · 329 · 168 | 4519.8 | 3970.7 · 3970.7 | T3 | yes · yes | 55.2 · 35.9 | 2337 · 168 · 85 · 189 | retry | 3 | KCAL_OFF / KCAL_OFF / ok | - |
| 22 | 3 | 1953 | 179 | 59 | 178 | 53.7 | 36.7% | 311 | 24 | 108854 · 10228 · 4187 | 6970 · 596 · 142 | 7611 · 655 · 430 | 4614 · 381 · 115 | 5210.7 | 3879.9 · 3879.9 | T3 | yes · yes | 52.1 · 34.1 | 1976 · 174 · 57 · 168 | retry | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR,FAT_OFF / PROTEIN_OFF / ok | - |
| 23 | 5 | 2033 | 211 | 63 | 155 | 63.2 | 41.5% | 122 | 24 | 38108 · 1689 · 1926 | 7640 · 560 · 309 | 9888 · 646 · 529 | 7034 · 466 · 301 | 5348.0 | 5237.5 · 5237.5 | T3 | yes · yes | 60.0 · 43.7 | 2051 · 195 · 75 · 131 | fail | 3 | PROTEIN_OFF / PROTEIN_OFF / PROTEIN_OFF | - |
| 24 | 3 | 1755 | 195 | 59 | 111 | 58.6 | 44.4% | 194 | 24 | 57484 · 2530 · 2069 | 7259 · 443 · 255 | 6578 · 404 · 321 | 4888 · 275 · 196 | 5115.4 | 4334.5 · 4334.5 | T3 | yes · no | 63.3 · 46.5 | 1761 · 145 · 63 · 128 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / PROTEIN_OFF / PROTEIN_OFF | - |
| 25 | 4 | 2377 | 169 | 71 | 264 | 68.6 | 28.4% | 142 | 24 | 44517 · 2413 · 2213 | 6681 · 457 · 236 | 8208 · 531 · 451 | 5163 · 318 · 215 | 4997.9 | 4487.1 · 4487.1 | T3 | yes · yes | 76.7 · 57.3 | 2351 · 172 · 73 · 226 | retry | 2 | KCAL_OFF / ok | - |
| 26 | 3 | 1791 | 91 | 54 | 235 | 36.8 | 20.3% | 116 | 24 | 35743 · 1359 · 1811 | 8268 · 464 · 314 | 6103 · 371 · 285 | 5142 · 306 · 233 | 3742.0 | 3611.2 · 3611.2 | T3 | yes · yes | 96.4 · 53.9 | 1770 · 92 · 70 · 169 | first | 1 | ok | - |
| 27 | 4 | 1408 | 117 | 42 | 140 | 35.2 | 33.2% | 295 | 24 | 103093 · 9705 · 3891 | 7073 · 589 · 195 | 9905 · 821 · 552 | 5566 · 451 · 189 | 4397.2 | 4176.7 · 4176.7 | T3 | yes · yes | 72.4 · 50.1 | 1411 · 114 · 41 · 135 | first | 1 | ok | - |
| 28 | 4 | 2394 | 224 | 72 | 213 | 67.3 | 37.4% | 157 | 24 | 49432 · 2981 · 2474 | 6583 · 470 · 178 | 8377 · 552 · 469 | 4958 · 321 · 167 | 5324.6 | 4585.4 · 4585.3 | T3 | yes · yes | 52.2 · 38.5 | 2404 · 185 · 73 · 226 | fail | 2 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / PROTEIN_OFF | - |
| 29 | 4 | 1992 | 92 | 60 | 271 | 49.1 | 18.5% | 319 | 24 | 111767 · 10441 · 4371 | 6986 · 577 · 161 | 9905 · 823 · 552 | 5616 · 444 · 156 | 3934.7 | 3803.2 · 3803.2 | T3 | yes · yes | 68.1 · 50.9 | 1886 · 108 · 65 · 198 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_BELOW_SAFETY_FLOOR / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 30 | 3 | 2413 | 138 | 72 | 303 | 46.1 | 22.9% | 315 | 24 | 109694 · 10378 · 4189 | 7411 · 582 · 244 | 7611 · 653 · 430 | 4830 · 371 · 194 | 5417.6 | 3968.1 · 3968.1 | T3 | yes · yes | 102.5 · 60.0 | 2295 · 139 · 81 · 234 | first | 1 | ok | - |
