mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
2017,4449,10,,,,,1
2017,4497,2,,,,,1
2017,4500,15,,,,,1
2017,4949,300,,,,,1
2018,2016,100,306,,700,100,0
2023,1915,450,301,,,,1
2023,2033,110,301,,,,1
2023,4072,11,,,,,1
2023,4446,20,,,300,2,1
2023,4497,5,,,400,1,1
2023,4544,15,,,,,1
2023,4949,450,,,,,1
2025,1910,128,301,,,1,1
2025,1915,256,301,,,,1
2025,4072,8,,,,,1
2025,4446,10,,,,,1
2025,4544,15,,,,,1
2025,4949,300,,,,,1
2031,1716,0.5,,,700,0.5,0
2031,1873,0.800000011920929,,,700,0.800000011920929,0
2031,1899,3,,,700,3,0
2031,1915,38.29999923706055,301,,700,38.29999923706055,0
2031,4072,1.799999952316284,,,700,1.799999952316284,0
2031,4449,0.699999988079071,,,700,0.699999988079071,0
2031,4497,0.8999999761581421,,,700,0.8999999761581421,0
2031,4541,0.5,,,700,0.5,0
2031,4949,45,,,700,45,0
2031,8199,3,301,,700,3,0
2031,8834,5,,,700,5,0
2031,10139,10,,,700,10,0
2032,1561,57,101,,,,1
2032,1578,17,101,,,,1
2032,1881,20,,,,,1
2032,1910,300,301,,,,1
2032,4072,12,,,,,1
2032,4449,15,,,,,1
2032,4497,3,,,,,1
2032,4500,20,,,,,1
2032,4949,100,,,,,1
2039,1854,0.800000011920929,,,700,0.800000011920929,0
2039,1869,0.5,,,700,0.5,0
2039,2033,50,301,,700,50,0
2039,4072,0.699999988079071,,,700,0.699999988079071,0
2039,4449,0.699999988079071,,,700,0.699999988079071,0
2039,4497,1,,,700,1,0
2039,4500,0.5,,,700,0.5,0
2039,4541,0.800000011920929,,,700,0.800000011920929,0
2039,4949,35,,,700,35,0
2039,8834,6,,,700,6,0
2041,2040,240,302,,,,1
2041,4424,90,,,,,1
2041,4497,6,,,,,1
2041,4949,1000,,,,,1
2046,1910,390,301,,,,1
2046,1914,2,,,,,1
2046,1915,75,301,,,,1
2046,4072,10,,,,,1
2046,4497,2,,,,,1
2046,4949,500,,,,,1
2047,1578,76,101,,,,1
2047,1910,480,301,,,,1
2047,1912,8,,,,,1
2047,4072,5,,,,,1
2047,4449,10,,,,,1
2047,4497,6,,,,,1
2047,4500,15,,,,,1
2047,4949,800,301,,,,1
2048,1674,250,,,,,1
2048,1910,240,,,,,1
2048,2589,100,,,,,1
2048,2769,250,305,,,,1
2048,4449,45,,,,,1
2048,4497,4,,,,,1
2049,1912,10,,,,,1
2049,1916,500,301,,,,1
2049,4949,583,,,,,1
2050,1561,114,101,,,,1
2050,1912,12,,,,,1
2050,2678,160,301,,,,1
2050,3452,80,301,,,,1
2050,4449,100,,,700,1,1
2050,4497,1.899999976158142,,,,,1
2050,4502,20,,,,,1
2050,4949,200,,,,,1
2055,1561,171,103,,,,1
2055,2537,110,305,,700,1,1
2055,4237,130,,,700,1,1
2055,4449,56,,14,,1,1
2055,4497,5,,,400,1,1
2055,4949,200,,,,,1
2056,15,150,2151,,,,1
2056,1561,171,103,,,,1
2056,2534,140,,,,,1
2056,4449,60,,,,,1
2056,4497,3,,,,,1
2056,4500,5,,,,,1
2057,1561,228,101,,,,1
2057,2537,96,,,,,1
2057,4449,95,,,,,1
2057,4497,1,,,,,1
2057,4500,15,,,,,1
2057,4949,200,,,,,1
2060,1561,172,103,,,,1
2060,2534,140,,,,,1
2060,4497,1.700000047683716,,,,,1
2061,1561,171,103,,,,1
2061,2534,140,,,,,1
2061,4446,60,,,,,1
2061,4497,1.700000047683716,,,,,1
2069,2062,100,306,,700,100,0
2070,1910,420,301,,,,1
2070,4072,30,,,,,1
2070,4446,20,,,700,1,1
2070,4497,5,,,,,1
2070,4500,15,,,,,1
2070,4949,600,,,,,1
2073,1910,1000,301,,,,1
2073,4072,40,,,,,1
2073,4397,150,,,700,1,1
2073,4497,4,,,,,1
2073,4500,30,,,,,1
2073,4949,400,,,,,1
2075,1910,1000,301,,,,1
2075,4072,40,,,,,1
2075,4388,150,,,700,1,1
2075,4497,4,,,,,1
2075,4500,30,,,,,1
2075,4949,400,,,,,1
2076,1358,250,,,,,1
2076,1561,342,105,,,,1
2076,1910,1000,305,,,,1
2076,3459,255,,,,,1
2076,3711,6,,,,,1
2076,4072,50,,,,,1
2076,4288,150,,,,,1
2076,4449,95,,,700,1,1
2076,4497,7.5,,,400,1.5,1
2076,4500,60,,,,,1
2076,4949,500,,,,,1
2077,753,1000,1954,,,,1
2077,1847,65,2201,,,,1
2077,1898,35,,,700,1,1
2077,1910,1000,301,,,,1
2077,3414,50,,,,,1
2077,3798,6,3451,,,,1
2077,3820,630,3451,,,,1
2077,3823,20,3001,,,,1
2077,4072,10,,,,,1
2077,4443,95,,,700,1,1
2077,4497,18,,,,,1
2077,4949,400,,,,,1
2080,15,50,2153,,,,1
2080,532,150,1,,,,1
2080,1561,57,101,,,,1
2080,1578,19,101,,,,1
2080,1910,270,301,,,,1
2080,4072,20,,,,,1
2080,4388,100,,,700,1,1
2080,4500,90,,,,,1
2080,4949,50,,,,,1
2081,15,150,2153,,,,1
2081,1561,57,101,,,,1
2081,1900,100,,,,,1
2081,1910,360,301,,,,1
2081,1986,10,,,,,1
2081,3143,30,270,,,,1
2081,4072,30,,,,,1
2081,4446,70,,,700,1,1
2081,4500,90,,,,,1
2081,4544,40,,,,,1
2081,4949,100,,,,,1
2084,15,50,2153,,,,1
2084,1561,57,101,,,,1
2084,1910,270,301,,,,1
2084,1986,10,,,,,1
2084,3199,50,251,,,,1
2084,4072,20,,,,,1
2084,4446,100,,,700,1,1
2084,4500,100,,,,,1
2084,4949,50,,,,,1
2084,8779,10,,,,1,1
2085,15,50,2153,,,,1
2085,245,10,,,,,1
2085,1561,57,101,,,,1
2085,1854,50,2201,,,,1
2085,1910,270,301,,,,1
2085,4072,20,,,,,1
2085,4446,50,,,700,1,1
2085,4497,1,,,,,1
2085,4500,45,,,,,1
2085,4949,50,,,,,1
2087,15,50,2512,,,,1
2087,1561,57,101,,,,1
2087,1910,270,301,,,,1
2087,4072,20,,,,,1
2087,4446,100,,,700,1,1
2087,4500,180,,,,,1
2087,4577,50,,,,,1
2087,4949,50,,,,,1
2099,1561,342,,,,,1
2099,2243,50,,,,,1
2099,4500,70,,,,,1
2099,4670,200,,,902,2,1
2099,4820,10,,,,,1
2099,4949,45,,,,,1
2102,1561,171,101,,,,1
2102,1910,250,301,,,,1
2102,1912,3,,,,,1
2102,1914,3,,,,,1
2102,3199,145,251,,,,1
2102,3202,120,151,,,,1
2102,3626,186,3451,,,,1
2102,4449,180,,,,,1
2102,4500,250,,,,,1
2104,1833,130,,,,,1
2104,2191,1105,,,,1,1
2108,15,240,,,200,1,1
2108,269,250,,,,,1
2108,532,125,,,600,0.5,1
2108,542,125,,,600,0.5,1
2108,2243,250,,,700,250,1
2108,2689,80,,,900,1,1
2108,4500,150,,,200,0.75,1
2112,532,500,1,,,,1
2112,1561,228,101,,,,1
2112,1910,24,301,,,,1
2112,2685,24,,,,,1
2112,4388,100,,,700,1,1
2112,4500,200,,,,,1
2114,15,200,,,,,1
2114,269,250,,,,,1
2114,2243,150,,,,,1
2114,2689,80,,,900,1,1
2116,285,200,,,,,1
2116,532,500,1,,,,1
2116,1561,285,101,,,,1
2116,1910,220,301,,,,1
2116,2685,16,,,,,1
2116,4397,100,,,,,1
2116,4500,275,,,,,1
2119,533,500,1,,,,1
2119,1561,228,101,,,,1
2119,1910,24,301,,,,1
2119,2685,24,,,,,1
2119,2689,80,,,900,1,1
2119,4506,7.5,,,700,1,1
2130,269,83,2151,,,,1
2130,1561,114,101,,,,1
2130,1578,114,101,,,,1
2130,3143,2.5,270,,,,1
2130,4388,20,,,,,1
2130,4500,55,,,,,1
2130,4670,150,,,,,1
2151,1561,342,101,,,,1
2151,1900,140,,,,,1
2151,1910,240,301,,,,1
2151,1912,14,,,,,1
2151,4446,200,,,,1,1
2151,4500,270,,,,,1
2151,4940,100,,,,,1
2181,1561,228,101,,,,1
2181,1578,57,,,,,1
2181,1857,400,,,,,1
2181,1910,240,301,,,,1
2181,3148,50,270,,,,1
2181,4446,40,,,700,1,1
2181,4500,30,,,,,1
2184,269,250,,,,,1
2184,2207,640,,,,1,1
2184,4500,60,,,300,4,1
2184,4574,450,,,,,1
2188,1561,228,101,,103,4,1
2188,1910,250,301,,200,2,1
2188,1912,10,,,903,1,1
2188,3148,240,270,,200,1,1
2188,4446,163.5,,,200,0.75,1
2188,4500,200,,,200,1,1
2190,285,200,2152,,,,1
2190,1561,228,101,,,,1
2190,1854,50,2201,,,,1
2190,1911,300,301,,,,1
2190,3199,50,251,,,,1
2190,4446,200,,,700,1,1
2190,4500,200,,,,,1
2190,4705,50,,,,,1
2191,1561,171,101,,103,3,1
2191,1910,375,301,,200,3,1
2191,1912,10,,,903,1,1
2191,4446,109,,,200,0.5,1
2191,4500,200,,,200,1,1
2191,4949,240,,,200,1,1
2196,62,200,2153,,,,1
2196,1561,171,101,,103,3,1
2196,1910,375,301,,200,3,1
2196,1912,10,,,903,1,1
2196,3143,5,270,,,,1
2196,4446,109,,,200,0.5,1
2196,4500,300,,,200,1.5,1
2199,245,40,,,,,1
2199,1561,285,101,,,,1
2199,1910,180,301,,,,1
2199,1912,5,,,,,1
2199,4397,200,,,,,1
2199,4500,300,,,,,1
2199,4949,130,,,,,1
2201,245,60,,,,,1
2201,2191,1105,,,,1,1
2203,2201,1105,,,700,1,1
2203,9390,245,,,,1,1
2204,2207,744,,,,1,1
2204,9389,165,,,,1,1
2207,1561,342,101,,,,1
2207,1910,156.25,301,,200,1.25,1
2207,1912,4,,,400,1,1
2207,4446,20,,,300,2,1
2207,4497,1,,,,,1
2207,4500,200,,,200,1,1
2207,4949,20,,,,,1
2210,41,200,2152,,,,1
2210,269,500,,,,,1
2210,1561,114,101,,,,1
2210,1910,50,301,,,,1
2210,1912,14,,,,,1
2210,2737,150,358,,,,1
2210,4500,345,,,,,1
2210,4577,48,,,,,1
2210,4949,240,,,,,1
2211,245,60,,,,,1
2211,2207,744,,,,1,1
2213,2211,744,,,700,1,1
2213,9388,165,,,700,1,1
2215,3034,500,301,,,,1
2215,3202,800,151,,,,1
2215,4397,100,,,,,1
2215,4500,50,,,,,1
2217,1910,12,301,,300,1,1
2217,3143,15,270,,300,1,1
2217,3202,610,151,,103,5,1
2217,4397,50,,,700,1,1
2217,4500,100,,,200,0.5,1
2217,8779,3,,,,1,1
2217,9368,660,,,700,1,1
2219,2691,16,301,,300,2,1
2219,3143,30,270,,300,2,1
2219,3236,1320,158,,200,5,1
2219,4500,100,,,200,0.5,1
2219,8779,3,,,,1,1
2219,9368,660,,,700,1,1
2220,94,104,2153,,,,1
2220,1578,19,101,,,,1
2220,1910,240,301,,,,1
2220,1912,4,,,,,1
2220,3143,30,270,,300,2,1
2220,3201,1000,151,,,,1
2220,4497,2.5,,,,,1
2220,4949,60,,,700,1,1
2231,1561,228,101,,,,1
2231,1854,120,2201,,,,1
2231,1910,480,301,,,,1
2231,1912,12,,,,,1
2231,1914,3,,,,,1
2231,3148,200,270,,,,1
2231,3165,85,251,,,,1
2231,3171,178,251,,,,1
2231,4446,190,,,700,1,1
2231,4500,300,,,,,1
2233,1561,228,101,,103,4,1
2233,1910,250,301,,200,2,1
2233,1912,10,,,903,1,1
2233,3202,396,151,,102,4,1
2233,4446,163.5,,,200,0.75,1
2233,4500,250,,,200,1.25,1
2237,1561,57,101,,103,1,1
2237,1578,19,101,,100,1,1
2237,1900,100,,,,,1
2237,1910,375,301,,200,3,1
2237,1912,4,,,400,1,1
2237,2243,20,,,102,4,1
2237,3143,4,270,,400,1,1
2237,4397,250,,,,,1
2237,4500,100,,,200,0.5,1
2237,4501,150,,,200,1,1
2237,4949,120,,,200,0.5,1
2237,8793,20,,,700,1,1
2241,1574,228,101,,,,1
2241,1843,320,,,,,1
2241,2537,80,,,,,1
2241,3143,30,270,,,,1
2241,4500,400,,,,,1
2242,4569,100,,,700,1,1
2242,9398,1105,,,,1,1
2246,1561,228,101,,103,4,1
2246,1910,187.5,301,,200,1.5,1
2246,4388,150,,,700,1,1
2246,4502,150,,,200,1,1
2246,4756,200,,,700,1,1
2246,8793,5,,,,1,1
2248,1561,57,101,,,,1
2248,1910,140,301,,,,1
2248,1912,14,,,,,1
2248,4397,100,,,,,1
2248,4500,90,,,,,1
2248,4502,90,,,,,1
2248,4569,100,,,700,1,1
2289,1574,114,101,,,,1
2289,1833,120,,,,,1
2289,3143,5,270,,,,1
2289,4500,200,,,,,1
2301,1910,70,301,,,,1
2301,1915,130,301,,,,1
2301,3148,30,270,,,,1
2301,4446,100,,,,,1
2301,4500,200,,,,,1
2316,15,30,2152,,,,1
2316,1561,57,101,,,,1
2316,1910,120,301,,,,1
2316,1912,5,,,,,1
2316,4397,100,,,,,1
2316,4500,200,,,,,1
2316,8199,170,358,,700,1,1
2320,245,35,,,700,1,1
2320,1833,15,,,700,1,1
2320,2243,250,,,,,1
2320,4397,50,,,,,1
2320,4500,100,,,,,1
2320,4773,30,,,700,1,1
2320,4774,30,,,700,1,1
2320,4949,72,,,200,0.300000011920929,1
2320,8793,15,,,700,1,1
2351,1561,171,101,,,,1
2351,1815,150,,,,,1
2351,1910,480,301,,,,1
2351,1912,3,,,,,1
2351,3148,50,270,,,,1
2351,4449,140,,,,,1
2351,4500,200,,,,,1
2353,1561,57,101,,,,1
2353,1910,300,301,,,,1
2353,1912,5,,,,,1
2353,4397,200,,,,,1
2353,4500,150,,,,,1
2353,4577,160,,,,,1
2355,1561,228,101,,103,4,1
2355,1883,20,,,700,1,1
2355,1910,500,301,,200,4,1
2355,1912,16,,,400,4,1
2355,4440,218,,,200,1,1
2355,4500,100,,,700,1,1
2384,1561,114,101,,,,1
2384,1815,76,2201,,,,1
2384,1910,240,301,,,,1
2384,1912,6,,,,,1
2384,3199,50,251,,,,1
2384,4397,100,,,,,1
2384,4500,100,,,,,1
2384,4921,20,,,,,1
2386,1561,114,101,,,,1
2386,1815,76,2201,,,,1
2386,1910,240,301,,,,1
2386,1912,6,,,,,1
2386,3199,50,251,,,,1
2386,4388,100,,,,,1
2386,4500,100,,,,,1
2386,4921,20,,,,,1
2392,1578,38,103,,,,1
2392,1910,300,301,,,,1
2392,4397,200,,,,,1
2392,4500,90,,,,,1
2398,1910,270,301,,,,1
2398,3143,15,270,,,,1
2398,3201,1000,151,,,,1
2398,4397,200,,,,,1
2398,4500,100,,,,,1
2398,4949,50,,,,,1
2400,3032,500,301,,,,1
2400,3202,500,151,,,,1
2400,4500,50,,,,,1
2405,15,125,1,,,,1
2405,1561,114,101,,,,1
2405,1845,50,2201,,,,1
2405,1910,120,301,,,,1
2405,1912,6,,,,,1
2405,3225,160,151,,,,1
2405,4446,150,,,700,1,1
2405,4500,200,,,,,1
2409,1561,228,101,,103,4,1
2409,1578,76,101,,100,4,1
2409,2685,16,,,300,2,1
2409,3143,200,270,,700,1,1
2409,4397,150,,,,,1
2409,4500,200,,,,,1
2409,4949,50,,,700,1,1
2409,9368,660,,,700,1,1
2410,279,250,,,700,1,1
2410,1561,171,101,,103,3,1
2410,1845,300,2201,,700,1,1
2410,3143,22,270,,700,1,1
2410,4397,30,,,,,1
2410,4500,300,,,,,1
2410,4949,120,,,200,0.5,1
2410,9368,660,,,700,1,1
2411,1561,288,101,,,,1
2411,1910,120,301,,,,1
2411,4397,100,,,,,1
2411,4949,200,,,,,1
2413,1986,50,301,,,,1
2413,3034,300,301,,,,1
2413,3199,145,,,,,1
2413,3202,1000,151,,,,1
2413,4446,40,,,700,1,1
2413,4506,40,,,700,1,1
2416,1815,150,2201,,,,1
2416,1834,50,2201,,,,1
2416,1852,150,2201,,,,1
2416,3034,500,301,,,,1
2416,3143,15,270,,,,1
2416,4397,200,,,,,1
2416,4500,230,,,,,1
2416,4544,50,,,,,1
2416,4949,150,,,,,1
2417,478,220,1,,700,1,1
2417,1852,75,2201,,700,1,1
2417,2958,200,,,700,1,1
2417,4388,100,,,700,1,1
2417,4500,250,,,700,1,1
2417,4949,260,,,700,1,1
2420,1476,250,754,,,1,1
2420,2737,900,358,,,,1
2420,3820,234,3456,,103,2,1
2420,3823,60,3006,,207,1,1
2420,4446,40,,,300,4,1
2420,4497,20,,,400,4,1
2420,4949,500,,,,,1
2420,8504,250,754,,700,1,1
2421,15,1000,2151,,,,1
2421,2737,120,358,,,,1
2421,4397,10,,,,,1
2422,1561,228,101,,,,1
2422,1854,100,,,,,1
2422,1912,15,,,,,1
2422,2737,900,301,,,,1
2422,3143,30,270,,,,1
2422,4449,190,,,,,1
2422,4500,500,,,,,1
2422,4949,100,2201,,,,1
2423,2737,120,358,,700,60,1
2423,4397,10,,,,,1
2423,4497,5,,,,,1
2423,4949,1000,,,,,1
2425,1561,57,101,,,,1
2425,1910,480,301,,,,1
2425,3830,100,,,,,1
2425,4072,30,,,,,1
2425,4234,65,,,,,1
2425,4443,10,,,,,1
2425,4497,4,,,,,1
2425,4949,300,,,,,1
2426,1561,57,101,,,,1
2426,1910,480,301,,,,1
2426,3594,800,,,,,1
2426,4072,30,,,,,1
2426,4234,65,,,,,1
2426,4443,10,,,,,1
2426,4497,8,,,,,1
2426,4949,300,,,,,1
2428,1578,38,101,,,,1
2428,1854,100,2201,,,,1
2428,1910,360,301,,,,1
2428,3177,350,251,,,,1
2428,4397,200,,,,,1
2428,4500,90,,,,,1
2430,1578,38,101,,,,1
2430,1910,360,301,,,,1
2430,4397,200,,,,,1
2430,4500,100,,,,,1
2430,4554,350,,,,,1
2432,1561,114,101,,,,1
2432,1854,100,2201,,,,1
2432,1910,500,301,,,,1
2432,1912,14,,,,,1
2432,3148,50,270,,,,1
2432,3177,250,,,700,1,1
2432,4397,200,,,,,1
2432,4500,100,,,,,1
2432,4949,100,,,,,1
2434,1561,114,101,,,,1
2434,1910,500,301,,,,1
2434,1912,14,,,,,1
2434,3148,50,270,,,,1
2434,4397,200,,,,,1
2434,4500,100,,,,,1
2434,4772,300,,,,,1
2434,4949,100,,,,,1
2437,1561,227,103,,,,1
2437,1910,500,301,,,,1
2437,3143,25,270,,,,1
2437,4397,120,,,,,1
2437,4449,166,,,,,1
2437,4500,120,,,,,1
2437,4949,120,,,,,1
2438,3032,500,301,,,,1
2438,4500,70,,,,,1
2441,3032,500,301,,,,1
2441,4497,3,,,,,1
2441,8606,42,1,,100,2,1
2442,15,400,2151,,,,1
2442,269,500,,,,,1
2442,2689,80,,,900,1,1
2442,9866,1000,,,,,1
2443,3032,500,301,,,,1
2443,4508,25,,,700,1,1
2450,1578,76,101,,,,1
2450,1881,50,,,,,1
2450,1910,1000,301,,,,1
2450,3177,250,,,,,1
2450,4072,75,,,,,1
2450,4397,300,,,,,1
2450,4449,65,,,,,1
2450,4500,60,,,,,1
2523,1910,500,301,,,,1
2523,1912,7,,,,,1
2523,4397,100,,,,,1
2523,4449,95,,,,,1
2523,4497,3,,,,,1
2523,4500,15,,,,,1
2525,533,250,1,,,,1
2525,1911,315,301,,,,1
2525,4397,200,,,,,1
2525,4497,5,,,,,1
2525,8606,55,1,,700,1,1
2545,1561,114,101,,,,1
2545,2537,75,,,,,1
2545,3148,15,270,,,,1
2545,4449,40,,,,,1
2545,4500,30,,,,,1
2545,4949,150,,,,,1
2606,1854,200,2204,,,,1
2606,1910,120,301,,,,1
2606,2737,40,358,,,,1
2606,4072,12,,,,,1
2606,4388,30,,,,,1
2606,4497,2,,,,,1
2606,4500,115,,,,,1
2606,4949,400,,,,,1
2607,1561,57,103,,,,1
2607,1910,60,302,,,,1
2607,4449,5,,,,,1
2607,4497,0,,,,,1
2607,4918,100,,,,,1
2608,1910,250,301,,,,1
2608,4072,12,,,,,1
2608,4388,100,,,,,1
2608,4449,20,,,,,1
2608,4544,200,,,,,1
2608,4949,150,,,,,1
2610,2201,1105,,,,1,1
2610,9389,245,,,,1,1
2611,15,100,2151,,,,1
2611,1561,114,103,,,,1
2611,2062,300,,,,,1
2611,4446,50,,,700,1,1
2612,15,100,2151,,,,1
2612,1561,114,103,,,,1
2612,2062,300,,,,,1
2612,4449,18,,4,,1,1
2614,1561,116,107,,104,2,1
2614,1910,62.5,302,,200,0.5,1
2614,4497,2,,,,,1
2623,1549,5,,,,,1
2623,2622,500,381,,903,1,1
2623,4451,20,,,300,2,1
2623,4497,5,,,,,1
2623,4949,800,,,700,800,1
2624,1549,5,,,,,1
2624,2622,500,381,,903,1,1
2624,4449,20,,,300,2,1
2624,4497,5,,,,,1
2624,4949,800,,,700,800,1
2625,1549,5,,,,,1
2625,2622,500,381,,903,1,1
2625,4497,5,,,,,1
2625,4949,800,,,700,800,1
2627,2622,500,381,,903,1,1
2627,4949,800,,,700,800,1
2627,9154,650,,,700,1,1
2628,1549,5,,,,,1
2628,2622,500,381,,903,1,1
2628,4446,20,,,300,2,1
2628,4497,5,,,,,1
2628,4949,800,,,700,800,1
2629,2622,500,381,,903,1,1
2629,4949,800,,,700,800,1
2629,9150,350,,,700,1,1
2630,1549,5,,,,,1
2630,2622,500,381,,903,1,1
2630,4443,20,,,300,2,1
2630,4497,5,,,,,1
2630,4949,800,,,700,800,1
2632,435,100,,,,,1
2632,2646,200,,,700,1,1
2632,3663,80,,,,,1
2632,3798,6,,,,,1
2632,4038,80,,,700,1,1
2632,4283,50,,,104,10,1
2632,4443,30,,,,,1
2632,4497,3,,,,,1
2645,4388,28,,,300,2,1
2645,4497,1,,,,,1
2645,8552,850,,,700,850,1
2646,4449,10,,,300,1,1
2646,8552,1130,,,700,1130,1
2647,1530,80,,,,,1
2647,1706,33,,,,,1
2647,2621,250,,,700,250,1
2647,2685,2,,,,,1
2647,3626,64,3465,,,,1
2647,3754,56,3785,,,,1
2647,3767,190,3785,,,,1
2647,3819,35,3015,,,,1
2647,4449,30,,,,,1
2647,4497,4,,,,,1
2649,3700,56,,,300,4,1
2649,4497,1,,,700,1,1
2649,8606,40,5,,700,1,1
2649,9269,100,,,801,1,1
2651,1561,114,107,,,,1
2651,1910,240,302,,,,1
2651,4449,3,,,,,1
2651,4497,1.899999976158142,,,,,1
2651,4949,240,,,,,1
2652,1530,80,,,,,1
2652,1708,33,,,300,3,1
2652,2621,250,,,700,1,1
2652,2685,2,,,,,1
2652,3626,64,3465,,,,1
2652,3767,190,3785,,,,1
2652,3798,3,3465,,,,1
2652,3820,60,3465,,,,1
2652,3837,55,3785,,,,1
2652,3839,55,3785,,,,1
2652,3963,80,,,,,1
2652,4449,60,,,,,1
2652,4497,5,,,,,1
2652,8803,115,803,,700,1,1
2653,3798,9,3456,,,,1
2653,3820,234,3456,,,,1
2653,4446,28,,,700,1,1
2653,4497,4,,,,,1
2653,4949,240,,,200,1,1
2653,8305,141,,,200,1,1
2653,8552,375,,,700,1,1
2653,9793,360,,,200,2,1
2655,2646,650,,,700,1,1
2655,3724,140,,,700,1,1
2661,1561,228,103,,,,1
2661,2691,32,,,,,1
2661,4446,5,,,,,1
2661,4497,1.25,,,,,1
2661,4949,100,,,,,1
2669,2668,300,,,,,1
2669,4385,20,,,,,1
2670,2668,300,,,,,1
2670,4443,20,,,,,1
2672,15,200,2515,,,,1
2672,1910,36,302,,,,1
2672,4388,20,,,,,1
2672,4500,15,,,,,1
2672,4949,200,,,,,1
2674,15,300,2152,,,,1
2674,471,50,1,,,,1
2674,2678,125,358,,,,1
2674,3798,3,3460,,,,1
2674,3820,50,3460,,,,1
2674,4446,25,,,700,1,1
2674,4497,3,,,,,1
2674,4949,570,,,,,1
2675,2678,125,302,,,,1
2675,3459,270,3379,,,,1
2675,4388,50,,,700,1,1
2675,4497,2,,,,,1
2675,4949,570,,,,,1
2676,15,200,2151,,,,1
2676,2678,36,302,,,,1
2676,4388,20,,,,,1
2676,4500,15,,,,,1
2676,4949,200,,,,,1
2729,2727,750,434,,,1,1
2729,4446,40,,,700,1,1
2729,4497,3,,,,,1
2739,2737,120,358,,,,1
2739,4497,4,,,,,1
2739,4949,1000,,,,,1
2751,2902,135,358,,,,1
2751,3798,3,3456,,,,1
2751,3820,110,3456,,,,1
2751,4446,20,,,,,1
2751,4497,2,,,,,1
2751,4949,300,,,,,1
2753,15,400,,,,,1
2753,4424,90,,,,,1
2753,4497,4,,,,,1
2753,4949,200,,,,,1
2753,8812,200,432,,700,1,1
2755,1561,456,105,,,,1
2755,2902,270,358,,,,1
2755,3449,464,3309,,,,1
2755,4497,5,,,,,1
2755,4949,1600,,,,,1
2756,1530,1000,,,,,1
2756,2737,24,302,,,,1
2756,3785,12,3006,,,,1
2756,3798,3,3456,,,,1
2756,4446,25,,,700,1,1
2761,2737,500,358,,,,1
2761,4449,40,,,,,1
2761,4497,6,,,,,1
2761,4949,750,,,,,1
2762,715,750,,,700,1,1
2762,1653,250,,,700,1,1
2762,3778,80,3006,,1201,2,1
2762,3820,648,3456,,104,4,1
2762,3850,290,3776,,103,2,1
2762,3933,200,,,700,1,1
2762,4443,54.5,,,200,0.25,1
2762,4497,9,,,400,1.5,1
2762,4949,1500,,,,,1
2762,8779,8,,,,1,1
2762,9227,250,302,,700,1,1
2772,2771,250,432,,,,1
2772,4446,30,,,700,1,1
2772,4497,1,,,,,1
2772,4949,375,,,,,1
2773,2771,250,432,,,,1
2773,4497,1,,,,,1
2773,4949,480,,,,1,1
2777,2721,1102.359985351563,,,,1,1
2777,3820,117,3460,,,,1
2777,4443,60,,,,,1
2777,4497,2,,,,,1
2777,8823,75,384,,700,1,1
2780,2730,250,432,,,,1
2780,3636,92,,,,,1
2780,3798,9,3456,,,,1
2780,3820,117,3456,,,,1
2780,3963,100,,,700,1,1
2780,4446,40,,,700,1,1
2780,4497,1,,,,,1
2780,4949,375,,,,,1
2782,1566,57,105,,100,1,1
2782,2721,750,434,,,1,1
2782,3626,50,3460,,,,1
2782,3819,10,3460,,,,1
2782,4024,50,,,,,1
2782,4449,40,,,,,1
2782,4497,4,,,,,1
2784,2730,250,432,,,,1
2784,3663,160,3751,,,,1
2784,3820,117,3456,,,,1
2784,3837,109,3776,,,,1
2784,4449,40,,,,,1
2784,4497,3,,,,,1
2784,4949,350,,,,,1
2785,2721,750,434,,,1,1
2785,3663,160,3751,,,,1
2785,3820,117,3456,,,,1
2785,3837,109,3776,,,,1
2785,4446,40,,,,,1
2785,4497,3,,,,,1
2787,2721,750,434,,,1,1
2787,3199,70,,,,,1
2787,4449,20,,,,,1
2787,4497,4,,,,,1
2789,1847,25,2203,,,,1
2789,2721,250,,,,,1
2789,4443,14,,6,,1,1
2789,4497,1,,,,,1
2790,1847,25,2203,,,,1
2790,2721,750,,,,,1
2790,4449,20,,,,,1
2790,4497,1,,,,,1
2791,2721,750,434,,,1,1
2791,3716,50,,,,,1
2791,3798,6,3456,,,,1
2791,4237,117,3456,,,,1
2791,4449,40,,,,,1
2791,4949,200,,,,,1
2792,1605,200,,,,,1
2792,2730,250,432,,,,1
2792,3785,12,3006,,,,1
2792,3798,6,3456,,,,1
2792,3820,117,3456,,,,1
2792,4449,40,,,,,1
2792,4497,1.5,,,400,0.300000011920929,1
2792,4949,375,,,,,1
2794,2730,250,432,,,,1
2794,3820,117,3456,,,,1
2794,3963,100,,,,,1
2794,4024,100,,,,,1
2794,4497,3,,,,,1
2794,4949,375,,,,,1
2795,2730,250,432,,,,1
2795,3820,117,3456,,,,1
2795,4397,33,,5,,,1
2795,4497,5,,,,,1
2795,4949,375,,,,,1
2797,2721,750,434,,,1,1
2797,3820,117,3456,,,,1
2797,4443,39,,5,,,1
2797,4497,4,,,,,1
2799,2730,250,432,,,,1
2799,3820,117,3456,,,,1
2799,4451,33,,5,,,1
2799,4497,2,,,,,1
2799,4949,375,,,,,1
2801,2730,250,432,,,,1
2801,3820,117,3456,,,,1
