mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
678,4497,4,,,,,1
684,638,1000,,,,,1
684,2751,270,,,,,1
684,3459,464,,,,,1
684,4497,12,,,,,1
685,634,1000,704,,700,1,1
685,1605,385,,,700,385,1
685,3449,890,3309,,,,1
685,3820,150,3456,,,,1
685,4446,50,,,700,1,1
685,4497,10,,,700,10,1
685,4949,200,,,700,200,1
685,8811,300,,,700,300,1
686,637,1000,704,,,,1
686,1561,342,105,,,,1
686,1655,300,542,,,,1
686,2730,185,432,,,,1
686,3448,450,3309,,,,1
686,3798,8,3456,,,,1
686,4497,17,,,,,1
686,4949,1500,,,,,1
687,637,1000,704,,,,1
687,1561,342,105,,,,1
687,1655,300,542,,,,1
687,2902,135,358,,,,1
687,3448,450,3309,,,,1
687,3798,8,3456,,,,1
687,4497,12,,,,,1
687,4949,1500,,,,,1
688,634,1000,704,,700,1,1
688,1564,342,,,,,1
688,1607,175,542,,,,1
688,3449,890,3309,,,,1
688,3820,150,3456,,,,1
688,4449,50,,,700,1,1
688,4497,14,,,,,1
688,4949,770,,,,,1
689,634,1000,704,,700,1,1
689,1564,342,,,,,1
689,1607,175,542,,,,1
689,3449,890,3309,,,,1
689,3820,150,3456,,,,1
689,4449,50,,,700,1,1
689,4497,18,,,,,1
689,4949,770,,,,,1
690,637,1000,652,,,,1
690,1564,456,,,,,1
690,2769,200,432,,,,1
690,3449,1200,3309,,,,1
690,4449,30,,,,,1
690,4497,12,,,,,1
690,4949,400,,,,,1
691,881,500,856,,,,1
691,1607,175,542,,,,1
691,3449,480,3309,,,,1
691,4497,6,,,,,1
691,4949,800,,,,,1
693,986,500,856,,,1,1
693,1607,175,542,,,,1
693,2667,120,380,,,1,1
693,2769,120,380,,,1,1
693,3449,240,3309,,,,1
693,4497,18,,,400,3,1
693,4949,1500,,,2000,1.5,1
716,715,500,,,,,1
716,3716,100,,,,,1
716,3820,117,3460,,,,1
716,4444,5,,1,,1,1
716,4497,4,,,,,1
716,4949,100,,,,,1
718,719,600,,,,,1
718,3820,117,3460,,,,1
718,4443,4,,1,,1,1
718,4497,4,,,,,1
720,719,500,,,,,1
720,4443,3,,1,,1,1
720,4497,2,,,,,1
722,719,500,,,,,1
722,4440,30,,,,,1
722,4497,2,,,,,1
723,96,400,,,,,1
723,719,450,,,,,1
723,4497,4,,,,,1
724,719,500,,,,,1
724,4443,3,,1,,1,1
724,4497,2,,,,,1
725,8279,500,1051,,700,1,1
726,720,600,1001,,700,1,1
726,1520,250,,,1004,1,1
726,1910,48,305,,300,4,1
726,3626,248,3456,,103,4,1
726,3663,180,3751,,700,1,1
726,3778,160,3004,,1201,4,1
726,3798,9,3456,,1205,3,1
726,3820,234,3456,,103,2,1
726,3823,24,3004,,300,2,1
726,3830,8,3004,,300,1,1
726,8251,150,,,700,1,1
727,719,550,,,,,1
727,3823,20,3015,,,,1
727,4234,33,,,,,1
727,4443,30,,,,,1
727,4497,3,,,,,1
727,4949,100,,,,,1
728,709,1200,,,,,1
728,3143,44,270,,,,1
728,3798,6,3456,,,,1
728,3820,480,3456,,,,1
728,3835,76,3776,,,,1
728,4449,180,,,,,1
728,4497,11,,,,,1
728,4949,200,,,,,1
730,731,1000,1056,,,,1
730,3820,234,3465,,103,2,1
730,3823,20,3001,,,,1
730,4497,5,,,,,1
733,731,250,1001,,,,1
733,986,250,1805,,,,1
733,1561,57,105,,103,1,1
733,1986,50,305,,700,1,1
733,3823,20,3001,,,,1
733,4497,2,,,,,1
734,731,500,1056,,,,1
734,1898,75,,,700,1,1
734,1986,50,305,,700,1,1
734,3820,117,3451,,103,1,1
734,3823,10,3001,,,,1
734,4497,4,,,,,1
734,4949,200,,,,,1
735,731,500,1056,,,,1
735,1561,57,103,,,,1
735,1986,50,305,,700,1,1
735,3820,117,3456,,,,1
735,3823,10,3006,,,,1
735,4497,4,,,,,1
735,9155,350,,,700,1,1
736,753,750,1952,,,,1
736,3820,117,3460,,,,1
736,4446,40,,,700,1,1
736,4497,4,,,,,1
738,753,750,2004,,,,1
738,3626,192,3456,,,,1
738,3663,320,3776,,,,1
738,3820,234,3456,,,,1
738,4023,400,,,,,1
738,4446,40,,,700,1,1
738,4497,10,,,,,1
740,753,750,1952,,,,1
740,3820,117,3460,,,,1
740,4443,7,,1,,1,1
740,4497,4,,,,,1
741,753,750,1952,,,,1
741,3663,320,3751,,,,1
741,3820,175,3456,,,,1
741,4443,40,,,,,1
741,4497,7,,,,,1
742,753,750,2002,,,,1
742,3820,117,3460,,,,1
742,4443,8,,1,,1,1
742,4497,4,,,,,1
742,4949,50,,,,,1
743,731,500,1051,,,,1
743,1561,57,101,,103,1,1
743,1986,50,305,,700,1,1
743,3820,117,3460,,,,1
743,3823,10,3015,,,,1
743,4497,4,,,700,1,1
756,753,500,603,,,,1
756,3820,117,3451,,,,1
756,3823,10,3001,,,,1
756,4497,3,,,,,1
758,753,500,1952,,,,1
758,1561,57,103,,,,1
758,1986,50,305,,700,1,1
758,3820,117,3460,,,,1
758,3823,10,3015,,,,1
758,4497,4,,,,,1
760,753,500,2004,,,,1
760,1561,57,105,,,,1
760,1986,50,305,,,,1
760,3820,117,3456,,,,1
760,3823,10,3006,,,,1
760,4497,4,,,,,1
760,9155,350,,,700,1,1
762,753,500,1954,,,,1
762,1561,57,103,,,,1
762,1986,50,305,,700,1,1
762,3820,117,3460,,,,1
762,3823,10,3015,,,,1
762,4497,4,,,,,1
766,753,750,601,,,,1
766,1847,50,2201,,,,1
766,2730,180,432,,,,1
766,3820,117,3456,,,,1
766,4446,30,,,700,1,1
766,4497,8,,,,,1
766,4949,360,,,,,1
768,753,750,601,,,,1
768,3449,850,3302,,,,1
768,4443,30,,,,,1
768,4497,9,,,,,1
770,753,200,1952,,,1,1
770,946,250,803,,700,1,1
770,1561,57,103,,,,1
770,1986,50,305,,,,1
770,3820,117,3456,,103,1,1
770,3823,10,3015,,700,1,1
770,4497,4,,,,,1
774,612,750,1952,,700,1,1
774,4443,40,,,,,1
774,4497,4,,,,,1
779,776,750,,,700,1,1
779,3716,100,,,,,1
779,3820,117,3456,,,,1
779,4443,30,,,,,1
779,4497,5,,,,,1
779,4949,100,,,,,1
809,4449,9,,2,,1,1
809,4497,2,,,,,1
809,8803,500,805,,700,1,1
811,4443,9,,2,,1,1
811,4497,2,,,,,1
811,8803,500,805,,700,1,1
812,2721,84,,,,,1
812,3820,117,3456,,,,1
812,3823,16,3006,,,,1
812,4449,20,,,,,1
812,4497,8,,,,,1
812,8803,540,852,,700,1,1
813,1706,33,,,300,3,1
813,2685,4,,,,,1
813,3626,128,3465,,,,1
813,3767,190,3785,,,,1
813,3798,15,3465,,,,1
813,3802,80,3015,,,,1
813,3820,117,3465,,,,1
813,3837,55,3785,,,,1
813,3839,55,3785,,,,1
813,4449,40,,,,,1
813,4497,6,,,,,1
813,8803,500,805,,700,1,1
815,1561,114,103,,,,1
815,1986,88,,,,,1
815,4446,34,,6.900000095367432,700,1,1
815,4497,3,,,,,1
815,8803,500,804,,700,1,1
816,1561,114,103,,,,1
816,1881,25,,,,,1
816,1910,50,301,,,,1
816,1986,88,,,,,1
816,4449,38,,7,,1,1
816,4497,4,,,,,1
816,8803,500,804,,700,1,1
817,1393,500,804,,700,500,1
817,1561,114,103,,,,1
817,1910,50,301,,,,1
817,1986,88,,,,,1
817,4451,26,,5,,1,1
817,4497,3,,,,,1
818,1561,114,103,,,,1
818,1910,50,301,,,,1
818,1986,88,,,,,1
818,4446,26,,5,,1,1
818,4497,4,,,,,1
818,8803,500,804,,700,1,1
819,1561,114,103,,,,1
819,1910,50,301,,,,1
819,1986,88,,,,,1
819,4449,26,,5,,1,1
819,4497,4,,,,,1
819,8803,500,804,,700,1,1
821,1561,114,103,,,,1
821,1910,50,301,,,,1
821,1986,88,,,,,1
821,4440,26,,5,,1,1
821,4497,4,,,,,1
821,8803,500,804,,700,1,1
824,1561,114,103,,,,1
824,1910,50,301,,,,1
824,1986,88,,,,,1
824,4443,26,,5,,1,1
824,4497,4,,,,,1
824,8803,500,804,,700,1,1
825,4497,2,,,,,1
825,8803,500,803,,700,1,1
826,4443,6,,2.200000047683716,,1,1
826,4497,2,,,,,1
826,8803,500,803,,700,1,1
827,4449,6,,2.200000047683716,,1,1
827,4497,2,,,,,1
827,8803,500,803,,700,1,1
828,3636,124,,,,,1
828,4009,30,,,,,1
828,4449,8,,2.200000047683716,,,1
828,8803,500,803,,700,1,1
